sentence,label
Where is the fan oscillation battery,pointing
Have you seen the garden spade,pointing
Have you seen the extension socket,pointing
Good evening home hi,hello sign
Where is the coffee grinder,pointing
Can you guide me to the garden shed,pointing
Is the dishwasher lights turned on,pointing
Is the bathroom cabinet tidy,pointing
Where are my keys,pointing
Hello smart device hey,hello sign
Fabulous AC is cooling,good sign
Good evening tech genius,hello sign
Is the kitchen range hood vent clean,pointing
Love this vacuum cleaning,good sign
Is the oven on,pointing
Hi assistant I'm boredd,hello sign
Have you seen the camping stove,pointing
Was the garage door closed,pointing
Was the pantry light left on,pointing
Have you seen the garden gloves,pointing
Have you seen the dog toy basket,pointing
Awesome living room setup,good sign
Have you seen the gardening gloves,pointing
Is the dishwasher door secure,pointing
Hey buddy time start,hello sign
Yay lights off vacuum on,good sign
Perfect doors locked now,good sign
Where is the tool bag,pointing
Find the remote for me please,pointing
Fabulous AC cooling well,good sign
Hello wonderful home,hello sign
Good day to you sir,hello sign
Hi assistant what's nexty,hello sign
Morning buddy let's goo,hello sign
Where did I leave the coffee stirrer,pointing
Was the bathroom fan left on,pointing
Hello home tech mentor,hello sign
Super smooth doors secured,good sign
Smart call thermostat set 70,good sign
Nice touch doors locked,good sign
Hi there let's go,hello sign
Have you seen the camping lantern bulb,pointing
Cool move AC is cool,good sign
Was the garage lightbulb replaced,pointing
Hi tech mentor sleepy,hello sign
Can you guide me to the fire blanket,pointing
Super smart lights off,good sign
Bravo front door locked,good sign
Excellent vacuum working,good sign
Good move AC now cooling,good sign
Good day tech butler,hello sign
Morning buddy let's plan,hello sign
Superb lights off now,good sign
Super happy vacuum r,good sign
Where did I leave the headphones,pointing
Have you seen the camping tent,pointing
Is the light switch in the kitchen faulty,pointing
Hey buddy time wakey,hello sign
Good night home assistant,hello sign
Was the hallway nightlight turned on,pointing
Where did I put the coffee syrup,pointing
Where is the fan filter remote,pointing
Amazing work doors,good sign
Good evening digital genius,hello sign
Satisfaction vacuum cle,good sign
Was the hallway heater adjusted,pointing
Good night my assistant,hello sign
Perfect timing AC on,good sign
Where is the flashlight case,pointing
Hey home tech help,hello sign
Is the bedroom heater turned on,pointing
Is the coffee maker leaking,pointing
Hello home tech mento,hello sign
Hello home tech assistant,hello sign
Was the bedroom radiator cover moved,pointing
Is the dishwasher lights indicating,pointing
Hi assistant time listen,hello sign
Hi assistant need advice,hello sign
Where is the coffee table remote,pointing
Have you seen the camping gear,pointing
Hey smart device ready,hello sign
Have the headphones disappeared,pointing
Morning assistant what's fun,hello sign
Where did I leave the coffee syrup bottle,pointing
Happy with doors secured,good sign
Great work AC is cool,good sign
Was the garage lightbulb broken,pointing
Is the garage remote on the table,pointing
Super happy AC chi,good sign
Wake up sleepyhead,hello sign
Can you locate the power inverter,pointing
Was the office computer shut down,pointing
Was the office desk fan turned off,pointing
Hey buddy let's startt,hello sign
Hey assistant what's,hello sign
Excellent AC on timer,good sign
Hey buddy got questions,hello sign
Bravo lights off vacuum,good sign
Hey home digital mento,hello sign
Can you locate the security camera remote,pointing
Good job lights offed,good sign
Can you help me find my camera,pointing
Yay for thermostat go,good sign
Awesome choice vacuum,good sign
Have you seen the camping grill,pointing
Hey assistant,hello sign
Kudos to lights off done,good sign
Fabulous thermostat adjust,good sign
Where’s the vacuum cleaner,pointing
Love this doors set,good sign
Was the bedroom radiator adjusted,pointing
Great call AC i,good sign
Is the fan in the living room broken,pointing
Super happy doors lock,good sign
Good day digital genius,hello sign
Nice one,good sign
Well done AC cooling now,good sign
Morning tech mentor hi,hello sign
Can you locate the projector screen,pointing
Have you seen the dog bed,pointing
Hey home what's new,hello sign
Hey home brainy helper,hello sign
Can you guide me to the emergency power switch,pointing
Way to go doors sec,good sign
Good night tech butler,hello sign
Hey buddy let's start,hello sign
Is the bathroom fan noisy,pointing
Hey assistant time actiony,hello sign
Morning assistant what's upp,hello sign
Can you locate the fan oscillation battery pack,pointing
Can you help me find the key to the garage,pointing
Hi assistant need quic,hello sign
Morning tech guide hi,hello sign
Is the bedroom curtain open,pointing
Hi assistant sleepy head,hello sign
Hi assistant I'm eager,hello sign
Hi assistant check this,hello sign
Morning buddy what's up,hello sign
Was the bedroom window opened,pointing
Hey buddy let's move,hello sign
Hello smart helper sleepy,hello sign
Was the bedroom radiator cold,pointing
Hey assistant got ideas,hello sign
Smart call vacuum on now,good sign
Where did I leave the coffee filter,pointing
Hi assistant awake please,hello sign
Hello home brainy genius,hello sign
Where is the iron,pointing
Where is the broom,pointing
Have you seen the dog collar,pointing
Kudos to doors secure,good sign
Nice one vacuum d,good sign
Morning smart expert hi,hello sign
Can you tell me where the trash can is,pointing
Fabulous doors se,good sign
Hello digital genius slee,hello sign
Was the bedroom radiator hot,pointing
Have you seen the camping backpack,pointing
Hi buddy what's trendy,hello sign
Hey assistant time respondy,hello sign
Where did I leave the garden shovel,pointing
Good day tech wizardd,hello sign
Morning smart helper hi,hello sign
Nice one doors locked up,good sign
Can you find my wallet,pointing
Good evening home,hello sign
Hello tech genius please,hello sign
Can you locate the sound system battery,pointing
Can you guide me to the fire safety box,pointing
Was the hallway thermostat adjusted,pointing
Good day digital helpe,hello sign
Perfect match AC on,good sign
Yay for vacuum on task,good sign
Can you locate the fan oscillation remote,pointing
Nice work AC is on schedule,good sign
Is the kitchen counter clean,pointing
Great work doors lock,good sign
Right on lights of,good sign
Love this AC coolin,good sign
Hey digital guardian,hello sign
Just right lights,good sign
Hey buddy time starty,hello sign
Can you help me find the light dimmer switch,pointing
Hey home smart helper,hello sign
Hey smart butler now,hello sign
Super smart AC on timer,good sign
Super smart lock engaged,good sign
Was the hallway closet light on,pointing
Hey home what's going,hello sign
Superb vacuum do,good sign
Fabulous lights off done,good sign
Hey buddy let's start,hello sign
Great call vacuum on,good sign
Good night smart guide,hello sign
Can you guide me to the emergency supplies,pointing
Where is the step stool,pointing
Superb lights offed,good sign
Good night digital mentor,hello sign
Superb AC is on now,good sign
Can you guide me to the attic ladder,pointing
Hello digital wizard hi,hello sign
Tell me where my charger is,pointing
Bravo vacuum cleans,good sign
Where is the electric kettle,pointing
Excellent vacuum active,good sign
Super smooth thermostat,good sign
Hi assistant let's begin,hello sign
Good morning buddy,hello sign
Hi assistant time risee,hello sign
Was the patio seat cushion moved,pointing
Morning buddy time rise,hello sign
Can you locate the security system remote,pointing
Where is the fan battery,pointing
Was the hallway nightlight used overnight,pointing
Good call vacuum started,good sign
Bravo vacuum in motion,good sign
Hey assistant time answ,hello sign
Hi digital guide hello,hello sign
Have you seen the extension cord bundle,pointing
Happy with AC on timer,good sign
Can you locate the light bulbs,pointing
Hello smart mentor hey,hello sign
Morning smart guide now,hello sign
Spot on AC is cool,good sign
Yay living room lights out,good sign
Happy with AC on ti,good sign
Hi buddy let's discuss,hello sign
Super happy AC s,good sign
Nice work lights off,good sign
Have you seen my gym bag,pointing
Cheers to locked doors,good sign
Hi assistant let's discuss,hello sign
Was the dining room nightlight blinking,pointing
Have you seen my sneakers,pointing
Good day home hi,hello sign
Where did I put the tool caddy,pointing
Good night smart device,hello sign
Is the front doorbell working,pointing
Happy with AC on cool,good sign
Where is the thermostat battery,pointing
Hi buddy what's cooki,hello sign
Good night tech helper,hello sign
Is the freezer light working,pointing
Morning assistant tech support,hello sign
Tell me if the bedroom light is on,pointing
Hi assistant I'm excite,hello sign
Right on vacuum runs,good sign
Brilliant vacuum doing its job,good sign
Hey smart bot hey,hello sign
Perfect timing AC set,good sign
Where is the coffee travel mug,pointing
Happy with lights,good sign
Is the TV on,pointing
Happy with vacuum c,good sign
Hey home brainy helpe,hello sign
Perfect vacuum started now,good sign
Is the coffee grinder plugged in,pointing
Have you seen the extension plug case,pointing
Satisfaction smart lock active,good sign
Love this doors loc,good sign
Hey assistant time,hello sign
Good call for vacuum start,good sign
Was the office desk lamp off,pointing
Where is the humidifier water reservoir,pointing
Where did I put the tool roll,pointing
Is the toaster in the kitchen,pointing
Can you help me find the light sensor switch,pointing
